,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:BLMZ,bloomz,BLMZ,0.2503,0.11630000000000001,86.7910447761194,191436119,41.7910447761194,0.21,56.716417910447745,393731494,3029446.56,,BloomZ Inc.,stock,['common'],streaming,10000,1,false,0,USD,USD
1,NASDAQ:IMNN,celsion,IMNN,1.26,0.8445,203.24909747292418,145343874,20.40914560770156,1.16,179.18170878459688,413514649,7288590.0,-7.4944193758479685,"Imunon, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
2,NASDAQ:PLRZ,polyrizon-ltd,PLRZ,0.0039,-0.0002999999999999999,-7.1428571428571415,64104612,16.66666666666667,0.0034,-19.047619047619047,528156128,2959738.8571428573,,Polyrizon Ltd.,stock,['common'],streaming,10000,1,false,0,USD,USD
3,NASDAQ:HCTI,healthcare-triangle,HCTI,0.007,0.0004000000000000002,6.060606060606063,38604549,0.0,0.0058,-12.121212121212126,323257296,2368984.515151515,150.63720973812016,"Healthcare Triangle, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
4,NASDAQ:MLGO,,MLGO,2.34,0.16999999999999993,7.834101382488476,23590082,19.354838709677416,1.85,-14.746543778801838,117520530,127791129.42396314,796.0758472823879,"MicroAlgo, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
5,NASDAQ:GNLN,greenlane,GNLN,0.00625,5.0000000000000565e-05,0.806451612903235,18744435,3.2258064516129115,0.006,-3.2258064516128977,88206356,6123759.677419355,82.26744084758373,"Greenlane Holdings, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
6,NASDAQ:INEO,sag-limited,INEO,1.21,0.31509999999999994,35.21063806011844,16023048,55.32461727567325,1.21,35.21063806011844,26950662,11948750.0,,INNEOVA Holdings Limited,stock,['common'],streaming,100,1,false,0,USD,USD
7,NASDAQ:LTRY,lottery-com,LTRY,1.9999,0.3998999999999999,24.993749999999995,15882240,3.124999999999989,1.76,9.999999999999995,85833478,46992105.599999994,84.02075775027872,"Lottery.com, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
8,NYSE:QBTS,d-wave-quantum,QBTS,17.88,-1.1600000000000001,-6.092436974789917,11166698,5.042016806722694,18.8,-1.2605042016806642,148868974,5493196220.79832,1207.5482255680206,D-Wave Quantum Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
9,NASDAQ:NVDA,nvidia,NVDA,130.0,-2.8300000000000125,-2.130542799066485,10386548,0.20326733418654053,131.29,-1.1593766468418432,198815162,3201842611910.903,41.00508755533314,NVIDIA Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
10,NASDAQ:LGMK,logicmark-com-usd00001-pst-rev-spt,LGMK,0.0109,-0.0008999999999999998,-7.627118644067794,8864271,-1.6949152542372927,0.0116,-1.6949152542372927,57839273,6685139.966101696,-53.3892624473013,"LogicMark, Inc.",stock,['common'],streaming,10000,1,false,0,USD,USD
11,NASDAQ:LITM,,LITM,4.04,0.6299999999999999,18.47507331378299,7630840,18.76832844574779,3.9,14.369501466275652,16692628,30511104.457478005,70.22612238983282,Snow Lake Resources Ltd.,stock,['common'],streaming,100,1,false,0,USD,USD
12,NASDAQ:NVTS,navitas-semiconductor,NVTS,4.51,-0.54,-10.693069306930694,5793426,-2.178217821782167,4.41,-12.673267326732669,78009119,845872363.9425745,-43.94413709322771,Navitas Semiconductor Corporation,stock,['common'],streaming,100,1,false,0,USD,USD
13,NYSE:OKLO,altc,OKLO,44.7,4.980000000000004,12.537764350453182,5118515,17.975830815709973,48.87,23.036253776435043,92501454,6802958343.004533,226.91585654878273,Oklo Inc.,stock,['common'],streaming,100,1,false,0,USD,USD
14,NASDAQ:RGTI,rigetti-computing-redeemable,RGTI,13.05,-0.8099999999999987,-5.844155844155835,5078409,-0.8658008658008602,14.02,1.1544011544011554,107966861,4070326620.0014434,1162.0593069828217,"Rigetti Computing, Inc.",stock,['common'],streaming,100,1,false,0,USD,USD
